Match_ID,Date,Sport,Home_Team,Away_Team,Home_Team_Odds,Away_Team_Odds,Draw_Odds,Predicted_Winner,Actual_Winner
M00014,2025-02-01,Hockey,Gonzalezview Wolves,Lake Bethanyfort Wolves,3.81,2.04,2.33,Lake Bethanyfort Wolves,Gonzalezview Wolves
M00015,2023-07-31,Baseball,New Emilyport Lions,Port Christopherfurt Tigers,1.94,4.59,,New Emilyport Lions,Port Christopherfurt Tigers
M00016,2023-11-29,Basketball,North Charles Lions,Davisfort Lions,3.24,2.92,,Davisfort Lions,North Charles Lions
M00017,2023-09-18,Hockey,Curtisburgh Eagles,Michaelburgh Bears,4.61,1.53,1.21,Michaelburgh Bears,Michaelburgh Bears
M00018,2024-03-23,Football,Lake Corey Bears,Lorettaland Wolves,1.4,2.25,4.28,Lake Corey Bears,Draw
M00019,2025-04-07,Football,Port Sharon Lions,Torresland Tigers,3.57,1.5,1.62,Draw,Draw
M00020,2024-03-19,Baseball,Cameronberg Wolves,Paulamouth Eagles,4.81,,,Paulamouth Eagles,Cameronberg Wolves
M00021,2024-09-16,Football,Camposville Bears,Lake Kimberlychester Lions,3.4,1.52,,Camposville Bears,Lake Kimberlychester Lions
M00022,2024-04-15,Hockey,Garciahaven Wolves,Port Edwardside Lions,1.54,4.13,1.52,Port Edwardside Lions,Garciahaven Wolves
M00023,2024-04-10,Football,Kevinland Lions,South Adam Wolves,4.83,1.61,4.27,Draw,Draw
M00024,2023-12-07,Basketball,Port Amandamouth Wolves,East Maryville Wolves,3.21,3.35,,East Maryville Wolves,East Maryville Wolves
M00025,2024-04-30,Football,Terryhaven Lions,New Lisa Lions,4.51,4.07,3.03,Draw,Draw
M00026,2024-05-04,Football,Dayside Lions,South Andrea Eagles,1.29,2.01,2.54,Draw,Draw
M00027,2025-05-14,Hockey,North Ronald Wolves,East Derrick Eagles,2.54,4.84,4.14,Draw,East Derrick Eagles
M00028,2024-04-29,Football,Lake Virginia Tigers,Justinchester Tigers,4.32,4.84,4.31,Draw,Draw
M00029,2024-02-25,Football,West James Lions,East Erin Bears,4.91,1.4,4.95,West James Lions,Draw
M00030,2023-12-26,Hockey,Heidimouth Tigers,Jennyview Wolves,3.34,3.26,1.33,Jennyview Wolves,Heidimouth Tigers
M00031,2024-07-31,Baseball,Georgetown Bears,Lake Christina Eagles,1.8,3.56,,Lake Christina Eagles,Georgetown Bears
M00032,2024-03-05,Football,Robertshire Lions,New Elizabethside Wolves,2.99,3.34,3.53,Robertshire Lions,Draw
M00033,2025-06-24,Baseball,New Kathyfurt Tigers,Oconnorfurt Tigers,4.23,4.43,,Oconnorfurt Tigers,Oconnorfurt Tigers
M00034,2023-09-04,Baseball,Palmerfurt Bears,Flowersside Tigers,1.96,3.23,,Palmerfurt Bears,Flowersside Tigers
M00035,2024-09-14,Football,Jenniferton Lions,Martinborough Bears,2.99,2.55,3.08,Draw,Martinborough Bears
M00036,2025-07-08,Hockey,Tylerport Eagles,Thomaston Wolves,2.83,3.8,1.48,Thomaston Wolves,Thomaston Wolves
M00037,2024-12-22,Football,Burgesschester Bears,West Ericton Eagles,1.71,2.79,4.73,West Ericton Eagles,Burgesschester Bears
M00038,2024-07-08,Hockey,West Brettmouth Bears,Roseshire Tigers,1.44,2.66,2.92,Draw,Roseshire Tigers
M00039,2024-12-23,Hockey,Port Gregory Eagles,North Brittany Eagles,1.81,1.6,3.76,Port Gregory Eagles,North Brittany Eagles
M00040,2025-01-06,Basketball,New Brandonborough Eagles,New Tonyburgh Bears,2.99,2.19,,New Tonyburgh Bears,New Brandonborough Eagles
M00041,2025-01-01,Hockey,Moorebury Tigers,Lindafort Eagles,4.41,2.14,3.78,Moorebury Tigers,Draw
M00042,2023-12-26,Basketball,West James Lions,Carrilloview Lions,3.33,1.24,,Carrilloview Lions,West James Lions
M00043,2024-11-23,Tennis,Kellerhaven Lions,Johnview Lions,2.75,3.05,,Johnview Lions,Johnview Lions
M00044,2024-10-01,Basketball,Lake Mallory Lions,Glenhaven Bears,3.18,3.94,,Lake Mallory Lions,Lake Mallory Lions
M00045,2024-04-17,Basketball,Fergusonport Tigers,North Curtis Bears,4.6,1.92,,Fergusonport Tigers,Fergusonport Tigers
M00046,2024-07-18,Hockey,North Autumnville Eagles,Scottshire Bears,,2.3,4.69,Scottshire Bears,Draw
M00047,2023-10-03,Football,Lake Shelby Wolves,Lake Michaelville Bears,1.71,3.23,4.47,Lake Michaelville Bears,Lake Shelby Wolves
M00048,2025-04-14,Baseball,Wesleyhaven Eagles,Arnoldberg Bears,2.35,2.77,,Wesleyhaven Eagles,Wesleyhaven Eagles
M00049,2024-10-14,Baseball,East Jacobstad Wolves,East Kennethhaven Tigers,2.86,3.6,,East Jacobstad Wolves,East Kennethhaven Tigers
M00050,2024-05-31,Baseball,North Felicia Tigers,Richardsside Bears,4.46,4.21,,North Felicia Tigers,North Felicia Tigers
M00051,2024-12-01,Tennis,Port Luisberg Lions,Perryfort Tigers,2.12,4.17,,Perryfort Tigers,Port Luisberg Lions
M00052,2025-02-11,Tennis,Friedmanside Tigers,Garciaview Eagles,4.32,3.09,,Garciaview Eagles,Friedmanside Tigers
M00053,2025-06-10,Hockey,Medinamouth Lions,Jenniferbury Eagles,4.86,2.71,2.07,Medinamouth Lions,Medinamouth Lions
M00054,2025-05-08,Hockey,Karenshire Eagles,Charlesburgh Tigers,3.92,2.39,3.48,Karenshire Eagles,Draw
M00055,2024-10-31,Tennis,Bakerberg Wolves,Nicholstown Lions,2.28,3.5,,Nicholstown Lions,Nicholstown Lions
M00056,2025-07-05,Basketball,Cooperview Bears,Davisfurt Lions,,4.66,,Davisfurt Lions,Cooperview Bears
M00057,2023-12-09,Basketball,Port Martin Bears,Stephanieberg Wolves,2.69,2.22,,Stephanieberg Wolves,Stephanieberg Wolves
M00058,2025-06-28,Baseball,North Cassandra Wolves,Kristineton Tigers,4.32,4.37,,North Cassandra Wolves,North Cassandra Wolves
M00059,2023-12-03,Football,Crystalburgh Wolves,North Amanda Lions,2.04,1.31,2.98,North Amanda Lions,North Amanda Lions
M00060,2024-01-25,Baseball,Port Cheryl Lions,Schwartzfort Bears,,2.56,,Port Cheryl Lions,Schwartzfort Bears
M00061,2025-04-09,Tennis,New Jessica Lions,Dalefort Tigers,1.32,1.85,,Dalefort Tigers,New Jessica Lions
M00062,2025-03-30,Tennis,New Donna Lions,Charleshaven Bears,2.85,1.77,,Charleshaven Bears,New Donna Lions
M00063,2025-06-17,Tennis,West Trevorland Bears,East Josephborough Tigers,3.82,1.97,,West Trevorland Bears,East Josephborough Tigers
M00064,2024-01-06,Football,Anthonybury Bears,Kaylaside Bears,2.8,3.54,1.24,Draw,Kaylaside Bears
M00065,2025-03-26,Baseball,Tylerberg Wolves,Stacyhaven Tigers,3.38,1.35,,Tylerberg Wolves,Tylerberg Wolves
M00066,2024-10-11,Hockey,Martinezchester Bears,West Sandra Lions,2.65,2.66,4.44,Martinezchester Bears,West Sandra Lions
M00067,2024-08-13,Baseball,Huntershire Lions,Davisberg Lions,3.15,3.92,,Davisberg Lions,Huntershire Lions
M00068,2023-08-27,Tennis,Chelseaview Eagles,Michellemouth Tigers,,,,Chelseaview Eagles,Michellemouth Tigers
M00069,2025-06-20,Basketball,East Charlesside Bears,Chanchester Lions,3.5,4.3,,East Charlesside Bears,Chanchester Lions
M00070,2024-04-09,Football,Nicoleport Bears,North Tylermouth Lions,2.94,1.32,4.66,Nicoleport Bears,Draw
M00071,2025-02-19,Baseball,Martinton Lions,Port Deannastad Eagles,,2.35,,Port Deannastad Eagles,Martinton Lions
M00072,2024-04-14,Football,Port Joseph Lions,Ryanchester Eagles,2.96,4.32,4.72,Draw,Ryanchester Eagles
M00073,2024-05-31,Baseball,Amberfurt Eagles,Kendrabury Bears,3.82,3.54,,Amberfurt Eagles,Amberfurt Eagles
M00074,2025-06-04,Tennis,Terryland Tigers,New Annaport Lions,,4.69,,Terryland Tigers,Terryland Tigers
M00075,2023-08-19,Baseball,Choiport Lions,North Andrew Bears,4.77,,,Choiport Lions,North Andrew Bears
M00076,2023-09-12,Football,Ronaldfurt Eagles,Haasmouth Eagles,2.74,4.79,3.52,Draw,Ronaldfurt Eagles
M00077,2024-07-21,Tennis,Parkertown Wolves,Natashaview Bears,2.87,3.29,,Natashaview Bears,Parkertown Wolves
M00078,2024-03-26,Baseball,North Susanshire Eagles,Nicolechester Bears,3.63,3.62,,Nicolechester Bears,Nicolechester Bears
M00079,2023-12-27,Tennis,South Chad Bears,Lake Natalie Eagles,3.89,2.92,,South Chad Bears,Lake Natalie Eagles
M00080,2025-02-23,Football,Barbarachester Eagles,Port Sonyaborough Wolves,1.63,4.85,1.29,Barbarachester Eagles,Barbarachester Eagles
M00081,2025-06-02,Tennis,Port Philipburgh Lions,Vincentmouth Eagles,2.16,4.19,,Port Philipburgh Lions,Vincentmouth Eagles
M00082,2024-08-13,Basketball,Jennifershire Wolves,New Jasmine Wolves,4.46,4.31,,Jennifershire Wolves,Jennifershire Wolves
M00083,2025-02-28,Football,North Jeffrey Eagles,West Lisafurt Tigers,2.27,2.88,4.09,West Lisafurt Tigers,North Jeffrey Eagles
M00084,2024-07-31,Baseball,West Brendaton Eagles,West Patriciafurt Tigers,3.63,1.61,,West Brendaton Eagles,West Patriciafurt Tigers
M00085,2023-12-05,Basketball,New Chelsea Lions,Hectorberg Bears,4.04,4.96,,Hectorberg Bears,Hectorberg Bears
M00086,2024-08-15,Hockey,East Stephen Lions,West Jennifer Bears,4.95,4.08,3.63,Draw,Draw
M00087,2023-10-15,Basketball,Wintersfort Lions,Lake Samuel Bears,2.85,2.9,,Lake Samuel Bears,Lake Samuel Bears
M00088,2024-02-27,Tennis,West Heather Lions,Simpsontown Bears,2.97,2.94,,Simpsontown Bears,West Heather Lions
M00089,2025-02-18,Basketball,Randyfort Eagles,South Christopherport Wolves,1.96,2.67,,South Christopherport Wolves,Randyfort Eagles
M00090,2025-02-15,Baseball,Melissaview Eagles,West Pamela Tigers,3.16,1.58,,West Pamela Tigers,West Pamela Tigers
M00091,2025-03-11,Basketball,Phillipsmouth Tigers,Port Matthewburgh Lions,3.7,3.89,,Phillipsmouth Tigers,Port Matthewburgh Lions
M00092,2024-05-30,Hockey,Lewischester Wolves,Michaeltown Bears,2.74,2.36,4.62,Michaeltown Bears,Michaeltown Bears
M00093,2023-09-11,Baseball,Taylorberg Eagles,West Laura Wolves,,2.89,,Taylorberg Eagles,West Laura Wolves
M00094,2024-04-10,Baseball,Davisstad Lions,Annashire Tigers,,2.12,,Davisstad Lions,Annashire Tigers
M00095,2024-04-30,Tennis,Patrickbury Bears,Piercefort Bears,2.08,1.95,,Patrickbury Bears,Patrickbury Bears
M00096,2024-08-24,Tennis,Vincentville Lions,Howellville Bears,1.21,3.89,,Vincentville Lions,Vincentville Lions
M00097,2024-01-10,Basketball,Valenciamouth Eagles,East Williamborough Bears,2.09,,,Valenciamouth Eagles,East Williamborough Bears
M00098,2024-01-11,Football,East Donaldstad Wolves,New James Bears,2.32,3.7,3.49,New James Bears,Draw
M00099,2023-11-04,Basketball,North Amanda Tigers,Hessmouth Bears,4.0,3.34,,North Amanda Tigers,Hessmouth Bears
M00100,2024-03-09,Football,Anthonychester Eagles,Murphyfurt Lions,2.32,,4.21,Murphyfurt Lions,Murphyfurt Lions
M00101,2024-09-14,Baseball,South Mark Lions,West Madisonview Tigers,3.51,4.76,,West Madisonview Tigers,West Madisonview Tigers
M00102,2023-12-26,Tennis,South Jennifer Eagles,Mooreside Tigers,2.37,,,South Jennifer Eagles,South Jennifer Eagles
M00103,2024-06-19,Basketball,North Courtneyshire Wolves,Port Gwendolyn Wolves,3.46,3.93,,North Courtneyshire Wolves,Port Gwendolyn Wolves
M00104,2023-10-30,Football,Bakerfurt Eagles,Garyside Lions,4.91,4.28,1.35,Bakerfurt Eagles,Draw
M00105,2025-03-19,Basketball,West Colleen Bears,Katiefort Eagles,1.89,1.33,,Katiefort Eagles,Katiefort Eagles
M00106,2023-07-25,Hockey,Matthewtown Eagles,Elliottmouth Eagles,4.96,1.97,4.1,Draw,Matthewtown Eagles
M00107,2025-06-21,Baseball,New Melissa Bears,Amberberg Eagles,2.55,3.74,,Amberberg Eagles,New Melissa Bears
M00108,2024-03-23,Basketball,Georgeland Wolves,Sparksburgh Lions,2.24,3.05,,Georgeland Wolves,Georgeland Wolves
M00109,2024-05-27,Tennis,West Brian Lions,Luisview Bears,3.92,2.12,,Luisview Bears,West Brian Lions
M00110,2023-11-07,Basketball,Bruceburgh Lions,South Emilystad Wolves,3.0,1.26,,South Emilystad Wolves,South Emilystad Wolves
M00111,2023-11-25,Baseball,West Christineshire Lions,Walkerport Lions,3.07,4.89,,West Christineshire Lions,Walkerport Lions
M00112,2024-07-27,Football,Greenshire Bears,Kathleenburgh Eagles,4.71,4.48,2.79,Draw,Greenshire Bears
M00113,2024-09-24,Tennis,South Teresa Eagles,Lake Melissa Bears,2.44,3.2,,South Teresa Eagles,Lake Melissa Bears
M00114,2025-02-20,Basketball,Davidchester Lions,North Matthewport Tigers,3.93,2.6,,North Matthewport Tigers,North Matthewport Tigers
M00115,2025-06-13,Football,Charleschester Lions,Victoriafurt Wolves,3.67,1.76,3.41,Charleschester Lions,Draw
M00116,2025-07-07,Tennis,Joshuashire Wolves,Chungburgh Bears,3.18,1.39,,Joshuashire Wolves,Chungburgh Bears
M00117,2024-08-24,Football,Mariaberg Bears,Adamton Eagles,1.78,2.54,1.93,Mariaberg Bears,Adamton Eagles
M00118,2023-12-21,Hockey,Cooperside Lions,Brittneyland Lions,2.85,,2.47,Brittneyland Lions,Brittneyland Lions
M00119,2025-07-04,Tennis,Damonmouth Bears,Annettebury Eagles,2.57,3.92,,Damonmouth Bears,Annettebury Eagles
M00120,2023-09-09,Basketball,Geraldberg Lions,Port Charles Lions,1.25,4.17,,Geraldberg Lions,Geraldberg Lions
M00121,2024-10-20,Basketball,Garciabury Bears,North Phillipfurt Eagles,2.29,1.58,,North Phillipfurt Eagles,Garciabury Bears
M00122,2024-01-02,Tennis,South Angelaville Tigers,New Henryland Eagles,2.74,3.31,,South Angelaville Tigers,South Angelaville Tigers
M00123,2024-05-26,Baseball,North James Tigers,Lake Christina Lions,1.84,2.02,,North James Tigers,Lake Christina Lions
M00124,2023-07-19,Tennis,Johnmouth Lions,New Jessica Tigers,2.12,2.99,,New Jessica Tigers,New Jessica Tigers
M00125,2023-08-17,Baseball,Melissaborough Bears,Victoriaville Tigers,1.98,2.21,,Melissaborough Bears,Melissaborough Bears
M00126,2024-03-09,Basketball,West Kimberlyhaven Tigers,Kimberlybury Wolves,1.87,4.01,,Kimberlybury Wolves,West Kimberlyhaven Tigers
M00127,2024-03-17,Baseball,Troyton Lions,Smithstad Eagles,2.12,2.88,,Smithstad Eagles,Smithstad Eagles
M00128,2025-04-11,Football,South Monique Lions,Port Katherine Lions,3.39,2.83,1.68,South Monique Lions,Draw
M00129,2024-10-11,Baseball,Lake Alexbury Wolves,Bryanton Eagles,3.07,2.95,,Lake Alexbury Wolves,Lake Alexbury Wolves
M00130,2024-03-01,Tennis,Lake Kristinmouth Wolves,Knoxchester Eagles,4.56,2.09,,Knoxchester Eagles,Knoxchester Eagles
M00131,2025-06-07,Hockey,Lake Amy Bears,South Jamesbury Bears,3.83,3.04,4.38,Draw,Draw
M00132,2024-07-08,Basketball,Bradyfurt Bears,Lake Amy Wolves,,1.52,,Lake Amy Wolves,Bradyfurt Bears
M00133,2025-04-28,Tennis,Seanchester Tigers,East Jessicaview Bears,1.47,4.95,,East Jessicaview Bears,Seanchester Tigers
M00134,2023-07-22,Tennis,East Derrick Tigers,North Garyborough Tigers,2.23,3.4,,East Derrick Tigers,North Garyborough Tigers
M00135,2023-08-09,Hockey,New John Bears,West Michael Tigers,4.37,2.07,2.05,New John Bears,West Michael Tigers
M00136,2025-03-12,Basketball,Kimburgh Bears,Jacksonbury Eagles,,4.44,,Kimburgh Bears,Kimburgh Bears
M00137,2024-06-06,Basketball,West Sandraville Eagles,Lake Devonville Tigers,2.11,3.07,,West Sandraville Eagles,West Sandraville Eagles
M00138,2025-06-17,Hockey,Lake Jessicastad Bears,Reneefurt Bears,,4.51,4.99,Lake Jessicastad Bears,Reneefurt Bears
M00139,2024-01-09,Basketball,Wardmouth Bears,Sarahland Bears,3.44,1.71,,Sarahland Bears,Wardmouth Bears
M00140,2023-09-06,Basketball,East Angelaborough Tigers,North Kristentown Lions,1.82,3.15,,East Angelaborough Tigers,North Kristentown Lions
M00141,2024-05-07,Football,Lake Darrellhaven Lions,Guzmanfurt Tigers,3.31,2.45,3.4,Lake Darrellhaven Lions,Draw
M00142,2024-04-08,Baseball,Karamouth Tigers,Vaughnshire Wolves,3.79,2.66,,Vaughnshire Wolves,Karamouth Tigers
M00143,2024-02-29,Baseball,Lake Heather Eagles,Jonathonton Bears,1.74,2.49,,Jonathonton Bears,Jonathonton Bears
M00144,2025-04-16,Baseball,North Lisa Eagles,South Virginia Wolves,2.26,4.45,,South Virginia Wolves,North Lisa Eagles
M00145,2025-04-25,Football,Elizabethstad Eagles,Nunezmouth Eagles,3.55,3.67,3.28,Draw,Elizabethstad Eagles
M00146,2024-07-24,Hockey,New Roberto Eagles,Port Kellifurt Lions,3.27,3.74,4.94,Draw,Port Kellifurt Lions
M00147,2025-04-21,Baseball,South Dawnborough Wolves,Port Danielton Eagles,3.76,1.55,,South Dawnborough Wolves,Port Danielton Eagles
M00148,2025-04-02,Baseball,Lake Dylanberg Lions,Reevesview Tigers,1.22,,,Reevesview Tigers,Lake Dylanberg Lions
M00149,2024-12-18,Hockey,West Paulhaven Eagles,Obrienmouth Bears,4.08,,3.4,Draw,West Paulhaven Eagles
M00150,2024-06-16,Hockey,Smithview Eagles,Jameston Eagles,2.32,3.55,3.04,Draw,Smithview Eagles
M00151,2025-06-10,Basketball,New Allen Tigers,Mauricestad Wolves,4.81,2.4,,Mauricestad Wolves,New Allen Tigers
M00152,2025-02-08,Tennis,Saunderstown Tigers,East James Eagles,3.38,1.76,,Saunderstown Tigers,Saunderstown Tigers
M00153,2023-08-26,Baseball,Johnhaven Eagles,North Paulashire Lions,4.21,2.54,,Johnhaven Eagles,Johnhaven Eagles
M00154,2025-01-03,Basketball,East Grant Lions,South Carlosmouth Tigers,3.1,,,East Grant Lions,South Carlosmouth Tigers
M00155,2024-04-16,Baseball,East Alanland Wolves,Dianeview Wolves,4.87,2.64,,East Alanland Wolves,Dianeview Wolves
M00156,2024-11-28,Tennis,Hernandezfort Lions,West Veronica Tigers,3.2,3.57,,Hernandezfort Lions,West Veronica Tigers
M00157,2023-10-13,Baseball,Port Christopherhaven Tigers,Port Matthewside Wolves,2.73,2.02,,Port Christopherhaven Tigers,Port Matthewside Wolves
M00158,2024-11-12,Baseball,Jaredtown Lions,Espinozaport Tigers,2.24,3.78,,Espinozaport Tigers,Jaredtown Lions
M00159,2025-04-25,Basketball,Williamston Bears,New Iantown Eagles,1.8,,,Williamston Bears,Williamston Bears
M00160,2024-03-20,Basketball,Port Alexandraville Lions,Jasonmouth Lions,1.94,1.54,,Jasonmouth Lions,Port Alexandraville Lions
M00161,2024-06-16,Baseball,South Williamville Lions,Port Brianshire Lions,2.8,4.14,,Port Brianshire Lions,South Williamville Lions
M00162,2024-10-26,Baseball,New Zachary Eagles,Rachelshire Wolves,4.28,3.29,,New Zachary Eagles,Rachelshire Wolves
M00163,2024-08-20,Baseball,Rogersmouth Eagles,Evansberg Wolves,3.75,3.76,,Evansberg Wolves,Rogersmouth Eagles
M00164,2024-11-30,Basketball,Gonzaleztown Lions,Port Seth Eagles,2.37,,,Port Seth Eagles,Gonzaleztown Lions
M00165,2025-01-19,Football,Jonesborough Tigers,Lake Paul Lions,2.61,3.29,2.38,Draw,Jonesborough Tigers
M00166,2024-07-06,Hockey,Port Lisa Wolves,New Brett Tigers,,4.15,,Draw,Port Lisa Wolves
M00167,2024-02-14,Basketball,Greggborough Eagles,Paulport Tigers,4.14,3.3,,Greggborough Eagles,Greggborough Eagles
M00168,2023-11-10,Football,North Stevenburgh Wolves,Johnnytown Tigers,2.5,4.69,4.94,Draw,Draw
M00169,2024-03-07,Basketball,Tamarafurt Lions,North Tabitha Tigers,1.61,3.48,,Tamarafurt Lions,Tamarafurt Lions
M00170,2023-08-11,Basketball,Lauraport Lions,Richardmouth Tigers,2.58,4.08,,Lauraport Lions,Lauraport Lions
M00171,2024-02-10,Baseball,West Kathleenview Bears,Gabrielburgh Wolves,3.0,2.39,,West Kathleenview Bears,Gabrielburgh Wolves
M00172,2024-04-04,Tennis,Erinport Tigers,South Dorothystad Tigers,3.03,2.08,,Erinport Tigers,South Dorothystad Tigers
M00173,2025-04-16,Basketball,North Charles Lions,East Melissaton Eagles,3.57,1.48,,North Charles Lions,East Melissaton Eagles
M00174,2025-04-18,Tennis,West Michael Lions,Josephview Lions,3.2,2.59,,West Michael Lions,West Michael Lions
M00175,2024-10-08,Tennis,Brooksborough Eagles,Johnsonmouth Lions,4.21,2.95,,Johnsonmouth Lions,Johnsonmouth Lions
M00176,2025-03-06,Football,Shawnview Lions,Clarkchester Eagles,1.35,1.86,2.24,Shawnview Lions,Draw
M00177,2025-01-02,Football,Jenniferland Wolves,Bellview Wolves,1.29,1.96,1.22,Jenniferland Wolves,Draw
M00178,2024-08-22,Tennis,Wumouth Wolves,Brownport Wolves,,4.25,,Brownport Wolves,Wumouth Wolves
M00179,2023-08-08,Hockey,Michaelland Bears,Port Debbie Tigers,4.18,2.43,,Michaelland Bears,Port Debbie Tigers
M00180,2025-01-17,Hockey,Lake Michellemouth Tigers,New Martin Lions,3.89,1.86,1.24,New Martin Lions,New Martin Lions
M00181,2025-01-06,Football,East Ashley Tigers,Billymouth Tigers,4.1,2.33,2.93,Billymouth Tigers,East Ashley Tigers
M00182,2024-12-01,Basketball,Josephview Eagles,South Timothyburgh Wolves,2.98,4.51,,South Timothyburgh Wolves,Josephview Eagles
M00183,2025-05-26,Baseball,Baileyshire Lions,Luisview Eagles,1.3,2.96,,Baileyshire Lions,Baileyshire Lions
M00184,2024-11-12,Tennis,Taylorton Bears,West Nicholasmouth Wolves,4.32,1.28,,Taylorton Bears,West Nicholasmouth Wolves
M00185,2025-04-24,Basketball,Fullertown Bears,Port Joshuafurt Tigers,3.66,,,Port Joshuafurt Tigers,Fullertown Bears
M00186,2023-10-29,Hockey,Lake Kathy Tigers,Kevinville Tigers,3.58,2.97,4.82,Draw,Draw
M00187,2025-01-08,Football,East Justinchester Eagles,Curtisville Eagles,,1.22,4.61,East Justinchester Eagles,East Justinchester Eagles
M00188,2024-10-07,Baseball,Rickville Tigers,West Joannebury Wolves,3.75,2.69,,Rickville Tigers,Rickville Tigers
M00189,2024-06-30,Football,Joneshaven Lions,Avilaport Eagles,3.68,2.19,2.17,Draw,Avilaport Eagles
M00190,2023-08-08,Tennis,Morenoport Tigers,Walkertown Bears,1.2,1.74,,Walkertown Bears,Walkertown Bears
M00191,2024-02-11,Tennis,Martinfort Wolves,East Ericview Wolves,2.57,1.22,,Martinfort Wolves,East Ericview Wolves
M00192,2024-03-13,Football,Karenburgh Bears,South Robertchester Lions,1.21,,,South Robertchester Lions,South Robertchester Lions
M00193,2023-09-20,Hockey,West Markburgh Eagles,Mahoneyfort Tigers,,4.3,4.37,Mahoneyfort Tigers,Draw
M00194,2024-03-08,Tennis,Lake Kyle Tigers,West Jose Eagles,1.43,4.99,,West Jose Eagles,Lake Kyle Tigers
M00195,2023-10-30,Football,Larryview Wolves,Portermouth Lions,2.55,2.58,3.16,Portermouth Lions,Larryview Wolves
M00196,2025-06-02,Hockey,Justintown Wolves,East Jessica Bears,4.58,2.32,3.67,Justintown Wolves,East Jessica Bears
M00197,2025-06-15,Football,Martinezport Wolves,Lynchside Tigers,4.42,4.51,1.3,Lynchside Tigers,Draw
M00198,2024-06-30,Hockey,New Justinside Tigers,Johnbury Wolves,4.54,3.06,1.67,New Justinside Tigers,Johnbury Wolves
M00199,2023-11-19,Hockey,Helentown Eagles,West Kyle Lions,2.74,1.53,3.2,West Kyle Lions,Draw
M00200,2025-03-28,Basketball,South Meganport Lions,East Kathleentown Lions,,2.45,,South Meganport Lions,South Meganport Lions
M00201,2025-06-10,Basketball,Douglasview Bears,East Maryshire Eagles,1.2,1.5,,Douglasview Bears,Douglasview Bears
M00202,2023-12-08,Tennis,Port Monica Tigers,Mooreberg Bears,4.82,4.02,,Mooreberg Bears,Port Monica Tigers
M00203,2025-04-13,Tennis,North Austin Eagles,Port Richardmouth Lions,2.57,1.4,,Port Richardmouth Lions,Port Richardmouth Lions
M00204,2023-08-08,Tennis,North Michaelville Wolves,Smithstad Eagles,4.26,4.64,,North Michaelville Wolves,Smithstad Eagles
M00205,2023-08-15,Basketball,West Christinaville Wolves,Port Wesleychester Eagles,1.65,1.47,,Port Wesleychester Eagles,Port Wesleychester Eagles
M00206,2024-04-12,Basketball,New James Bears,Jacksonborough Bears,3.07,2.62,,Jacksonborough Bears,New James Bears
M00207,2023-11-22,Football,Masseybury Eagles,Travischester Bears,4.42,2.33,4.73,Masseybury Eagles,Masseybury Eagles
M00208,2024-10-05,Tennis,Pinedaside Eagles,East Rebecca Bears,1.84,3.6,,Pinedaside Eagles,East Rebecca Bears
M00209,2024-02-02,Hockey,East Johnburgh Wolves,West Jessica Bears,2.31,3.8,1.96,West Jessica Bears,East Johnburgh Wolves
M00210,2025-03-14,Football,South Natalie Eagles,South Matthewton Eagles,1.64,1.64,3.86,Draw,South Matthewton Eagles
M00211,2025-01-26,Basketball,South Natashafort Tigers,Lake Rebecca Eagles,2.26,3.64,,Lake Rebecca Eagles,South Natashafort Tigers
M00212,2025-03-18,Baseball,Ryanfurt Eagles,Justintown Tigers,4.91,2.54,,Ryanfurt Eagles,Ryanfurt Eagles
